sig_id,compound_id,compound_name,cell_line,dose,dose_unit,time,time_unit,tas,cc_q75,ss_ngene,qc_pass,PCA1,PCA2,UMAP1,UMAP2,cluster
LKCP001_MCF7_24H:N12,BRD-K28456624,seocalcitol,MCF7,0.1,uM,24.0,h,0.316742,0.3217,305,1,29.263867016926792,-2.396626798029034,11.219126,17.242414,1
LKCP001_A549_24H:J24,BRD-K73237276,tacalcitol,A549,0.1,uM,24.0,h,0.143408,0.1447,139,1,25.228057642750898,-19.857757636124667,10.60142,16.05416,1
LKCP001_A549_24H:J22,BRD-K73237276,tacalcitol,A549,10.0,uM,24.0,h,0.242405,0.3175,181,1,-14.427759228234555,-11.25808955758671,9.709763,18.241121,1
LKCP001_MCF7_24H:F09,BRD-K84163249,ercalcitriol,MCF7,0.1,uM,24.0,h,0.0816446,0.1124,58,1,-60.82271080229859,-16.86088307423772,10.716611,19.93232,3
LKCP001_MCF7_24H:E19,BRD-K28731095,calcitriol,MCF7,5.0,uM,24.0,h,0.23843,0.3432,162,1,11.264445260252923,-17.583124927637297,8.621928,18.00574,1
LKCP001_A549_24H:F07,BRD-K84163249,ercalcitriol,A549,10.0,uM,24.0,h,0.19494,0.2753,135,1,-1.2187849685586627,-16.572448369297472,10.309569,17.738222,1
LKCP002_A549_24H:N21,BRD-K28731095,calcitriol,A549,0.05,uM,24.0,h,0.0687606,0.0544,85,1,2.4014506648529688,-23.79469492430745,9.687148,17.5835,1
LKCP001_A549_24H:N11,BRD-K28456624,seocalcitol,A549,1.0,uM,24.0,h,0.088012,0.1067,71,1,-1.6487564652104234,-25.443656787731772,9.803772,17.35716,1
LKCP001_U2OS_24H:J23,BRD-K73237276,tacalcitol,U2OS,1.0,uM,24.0,h,0.153094,0.146,157,1,31.595116345517752,-18.84634154312836,9.912792,15.536203,1
LKCP001_U2OS_24H:N11,BRD-K28456624,seocalcitol,U2OS,1.0,uM,24.0,h,0.136265,0.1636,111,1,15.19155258890544,-24.56486743688034,9.26409,16.139265,1
LKCP001_A549_24H:F08,BRD-K84163249,ercalcitriol,A549,1.0,uM,24.0,h,0.0969599,0.1277,72,1,9.161041952268375,-23.46767276186762,10.12276,16.963978,1
LKCP001_U2OS_24H:N10,BRD-K28456624,seocalcitol,U2OS,10.0,uM,24.0,h,0.224902,0.332,149,1,-2.9876084718233185,-28.75096012377657,9.369765,16.586752,1
LKCP001_U2OS_24H:F08,BRD-K84163249,ercalcitriol,U2OS,1.0,uM,24.0,h,0.119097,0.1445,96,1,-1.7607758935819018,-30.502093984730653,9.104144,17.392109,1
LKCP001_MCF7_24H:J22,BRD-K73237276,tacalcitol,MCF7,10.0,uM,24.0,h,0.294628,0.379,224,1,28.031952413661845,-1.7877901046485478,8.593276,17.866602,1
LKCP002_A549_24H:N20,BRD-K28731095,calcitriol,A549,0.5,uM,24.0,h,0.112583,0.1097,113,1,-7.245895213114103,-15.282957340096198,9.518431,17.774532,1
LKCP001_A549_24H:E20,BRD-K28731095,calcitriol,A549,0.5,uM,24.0,h,0.0766896,0.0693,83,1,-37.35108252353647,-23.256141788779306,10.45673,18.989473,3
