sig_id,pert_id,cell_id,tas,ss_ngene,distil_cc_q75,dose,pert_dose_unit,pert_time,pert_time_unit,is_exemplar_sig,is_null_sig,is_ncs_sig,qc_pass,log_dose,dose_bin,core_score
CRCGN001_HA1E_24H:BRD-A66229260-001-01-6:10,BRD-A66229260,HA1E,0.17485,299,0.1,10.0,uM,24.0,h,False,False,False,False,1.0,high,0.4870576524640461
CRCGN004_HA1E_24H:BRD-A31158127-001-01-2:10,BRD-A31158127,HA1E,0.19271,227,0.16,10.0,uM,24.0,h,False,False,False,True,1.0,high,1.3736512202759847
CRCGN004_HA1E_24H:BRD-A31158127-001-01-2:10UM,BRD-A31158127,HA1E,0.193134,228,0.16,10.0,uM,24.0,h,False,False,False,True,1.0,high,1.328260679768039
CRCGN004_HA1E_24H:BRD-A66229260-001-01-6:10,BRD-A66229260,HA1E,0.114044,106,0.12,10.0,uM,24.0,h,False,False,False,True,1.0,high,1.6340929296428297
CRCGN004_HA1E_24H:BRD-A66229260-001-01-6:10UM,BRD-A66229260,HA1E,0.125322,128,0.12,10.0,uM,24.0,h,False,False,False,True,1.0,high,1.5761090293313655
CRCGN004_PC3_24H:BRD-A31158127-001-01-2:10,BRD-A31158127,PC3,0.176451,145,0.21,10.0,uM,24.0,h,False,False,True,True,1.0,high,1.605693445833171
CPC011_A549_24H:BRD-K27316855-001-09-1:10,BRD-K27316855,A549,0.30153,228,0.39,10.0,uM,24.0,h,False,False,True,True,1.0,high,1.483002933078218
CPC011_A549_24H:BRD-K56429665-001-06-2:10,BRD-K56429665,A549,0.22292,270,0.18,10.0,uM,24.0,h,False,False,True,False,1.0,high,1.2295982083962052
CPC011_PC3_24H:BRD-K27316855-001-09-1:10,BRD-K27316855,PC3,0.307374,220,0.42,10.0,uM,24.0,h,False,False,True,True,1.0,high,3.701301166212243
CPC011_PC3_24H:BRD-K56429665-001-06-2:10,BRD-K56429665,PC3,0.287006,212,0.38,10.0,uM,24.0,h,False,False,True,True,1.0,high,3.0358871119034525
CPC014_A549_24H:BRD-A84327315-001-01-1:10,BRD-A84327315,A549,0.166062,93,0.29,10.0,uM,24.0,h,False,False,True,False,1.0,high,0.7093077525097953
CPC014_MCF7_24H:BRD-A84327315-001-01-1:10,BRD-A84327315,MCF7,0.220429,297,0.16,10.0,uM,24.0,h,True,False,True,False,1.0,high,1.5896986496069165
CPC014_PC3_24H:BRD-A84327315-001-01-1:10,BRD-A84327315,PC3,0.257406,240,0.27,10.0,uM,24.0,h,False,False,True,False,1.0,high,1.990059277225908
